# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,
# Mon Oct 23 17:53:33 2023,,,,,,,,,,,,
#,,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,,
# COLUMN sy_snum:        Number of Stars,,,,,,,,,,,,
# COLUMN sy_pnum:        Number of Planets,,,,,,,,,,,,
# COLUMN discoverymethod: Discovery Method,,,,,,,,,,,,
# COLUMN disc_year:      Discovery Year,,,,,,,,,,,,
# COLUMN disc_facility:  Discovery Facility,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass],,,,,,,,,,,,
# COLUMN st_teff:        Stellar Effective Temperature [K],,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,,,,,
# COLUMN sy_dist:        Distance [pc],,,,,,,,,,,,
#,,,,,,,,,,,,
pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_bmasse,st_teff,st_rad,st_mass,st_logg,sy_dist
11 Com b,2,1,Radial Velocity,2007,Xinglong Station,0,5434.7,0,0,2.6,0,93.1846
11 Com b,2,1,Radial Velocity,2007,Xinglong Station,326.03,6165.6,4742,19,2.7,2.31,93.1846
11 Com b,2,1,Radial Velocity,2007,Xinglong Station,323.21,4914.89849,4874,13.76,2.09,2.45,93.1846
11 UMi b,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997,4684.8142,4213,29.79,2.78,1.93,125.321
11 UMi b,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,3432.4,0,0,1.7,0,125.321
11 UMi b,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.22,3337.07,4340,24.08,1.8,1.6,125.321
14 And b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,186.76,1131.1513,4888,11.55,1.78,2.55,75.4392
14 And b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,1017,0,0,1.2,0,75.4392
14 And b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,185.84,1525.5,4813,11,2.2,2.63,75.4392
14 Her b,1,2,Radial Velocity,2002,W. M. Keck Observatory,1773.4,1474.67,0,0,0,0,17.9323
14 Her b,1,2,Radial Velocity,2002,W. M. Keck Observatory,1766,1581.138,5280,1,0.91,4.4,17.9323
14 Her b,1,2,Radial Velocity,2002,W. M. Keck Observatory,1765.0389,2559.47216,0,0,0.91,0,17.9323
14 Her b,1,2,Radial Velocity,2002,W. M. Keck Observatory,1773.40002,1481.0878,5338,0.93,0.9,4.45,17.9323
14 Her b,1,2,Radial Velocity,2002,W. M. Keck Observatory,1796.4,1506.45,5255,0,0.9,4.4,17.9323
14 Her b,1,2,Radial Velocity,2002,W. M. Keck Observatory,1766.41,1541.46777,5314.94,1,0.97,4.43,17.9323
14 Her b,1,2,Radial Velocity,2002,W. M. Keck Observatory,1724,1554.12,0,0,1,0,17.9323
14 Her b,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1440.663,0,0,0.9,0,17.9323
16 Cyg B b,3,1,Radial Velocity,1996,Multiple Observatories,799.45,556.83537,5711.97,1.16,0.98,4.3,21.1397
16 Cyg B b,3,1,Radial Velocity,1996,Multiple Observatories,798.5,533.9544,5674,0,0.99,4.36,21.1397
16 Cyg B b,3,1,Radial Velocity,1996,Multiple Observatories,800.8,476.7,5760,0,1,4.35,21.1397
16 Cyg B b,3,1,Radial Velocity,1996,Multiple Observatories,799.5,533.93,5747,1.13,1.03,4.35,21.1397
16 Cyg B b,3,1,Radial Velocity,1996,Multiple Observatories,799.5,533.93,0,0,0,0,21.1397
16 Cyg B b,3,1,Radial Velocity,1996,Multiple Observatories,798.5,565.7374,5750,1.13,1.08,4.36,21.1397
17 Sco b,1,1,Radial Velocity,2020,Lick Observatory,578.38,1373.01872,4157,25.92,1.22,1.7,124.953
18 Del b,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,993.3,3273.5,4979,8.5,2.3,2.82,76.222
18 Del b,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,982.85,2926.24614,4980,8.8,2.1,2.87,76.222
18 Del b,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,3127.3,0,0,2.1,0,76.222
1RXS J160929.1-210524 b,1,1,Imaging,2008,Gemini Observatory,0,4000,4060,0,0.85,0,139.135
1RXS J160929.1-210524 b,1,1,Imaging,2008,Gemini Observatory,0,3000,4060,0,0.85,0,139.135
1RXS J160929.1-210524 b,1,1,Imaging,2008,Gemini Observatory,0,3000,3993,1.31,0.62,4,139.135
1RXS J160929.1-210524 b,1,1,Imaging,2008,Gemini Observatory,0,2543,4060,1.35,0.85,0,139.135
24 Boo b,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.33,280.64248,4816,12.19,1.05,2.28,95.9863
24 Boo b,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.3506,289.2253,4893,10.64,0.99,2.42,95.9863
24 Sex b,1,2,Radial Velocity,2010,Lick Observatory,452.8,632.46,5098,4.9,1.54,3.5,72.0691
24 Sex c,1,2,Radial Velocity,2010,Lick Observatory,883,273.32,5098,4.9,1.54,3.5,72.0691
2M0437 b,1,1,Imaging,2021,Subaru Telescope,0,1271.31363,3100,0.84,0.17,4.5,128.484
2MASS J01033563-5515561 AB b,2,1,Imaging,2013,Paranal Observatory,0,4131.79,0,0,0.19,0,0
2MASS J01225093-2439505 b,1,1,Imaging,2013,W. M. Keck Observatory,0,0,3309,0.37,0.35,4.86,33.8281
2MASS J01225093-2439505 b,1,1,Imaging,2013,W. M. Keck Observatory,0,7786.5,3530,0,0.4,0,33.8281
2MASS J02192210-3925225 b,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,0,4417.837,3064,0.28,0.11,4.59,0
2MASS J04414489+2301513 b,1,1,Imaging,2010,Hubble Space Telescope,0,2383.6,0,0,0.02,0,0
2MASS J12073346-3932539 b,1,1,Imaging,2004,Paranal Observatory,0,1589.15,0,0,0.02,0,64.308
2MASS J12073346-3932539 b,1,1,Imaging,2004,Paranal Observatory,0,1271,2825,0.22,0.19,5.03,64.308
2MASS J19383260+4603591 b,2,3,Eclipse Timing Variations,2015,Kepler,406,591.16084,29564,0.2,0.48,5.51,396.332
2MASS J19383260+4603591 b,2,3,Eclipse Timing Variations,2015,Kepler,416,603.877,0,0,0.48,0,396.332
2MASS J22362452+4751425 b,1,1,Imaging,2016,W. M. Keck Observatory,0,3972.875,4045,0,0.6,0,69.5737
30 Ari B b,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.1,3140.03,6300,1.13,1.16,4.5,44.657
30 Ari B b,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,345.4,2097.678,0,1.13,1.16,0,44.657
30 Ari B b,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.10001,4392.4106,6331,1.41,1.93,4.43,44.657
4 UMa b,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,270.27,2511.48007,4415,18.11,1.23,1.8,73.4603
4 UMa b,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,269.3,2256.5,4415,18.11,1.23,1.8,73.4603
42 Dra b,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,479.1,1233.13,4200,22.03,0.98,1.71,90.6545
47 UMa b,1,3,Radial Velocity,1996,Lick Observatory,1076.6,778.6835,5882,0,1.06,0,13.7967
47 UMa b,1,3,Radial Velocity,1996,Lick Observatory,1078,804.08,5872,1.21,1.06,4.3,13.7967
47 UMa b,1,3,Radial Velocity,1996,Lick Observatory,1100.8,877.17,0,0,0,0,13.7967
47 UMa b,1,3,Radial Velocity,1996,Lick Observatory,1083.2,826.32,0,0,0,0,13.7967
47 UMa b,1,3,Radial Velocity,1996,Lick Observatory,1076.6,774.86566,5829.16,1.14,1.01,4.33,13.7967
47 UMa c,1,3,Radial Velocity,2001,Lick Observatory,2391,171.621,5872,1.21,1.06,4.3,13.7967
47 UMa c,1,3,Radial Velocity,2001,Lick Observatory,7586,425.87,0,0,0,0,13.7967
47 UMa c,1,3,Radial Velocity,2001,Lick Observatory,2287,157.96072,5829.16,1.14,1.01,4.33,13.7967
47 UMa d,1,3,Radial Velocity,2009,Lick Observatory,14002,521.22,5872,1.21,1.06,4.3,13.7967
47 UMa d,1,3,Radial Velocity,2009,Lick Observatory,19000,479.92089,5829.16,1.14,1.01,4.33,13.7967
51 Eri b,3,1,Imaging,2015,Gemini Observatory,14965,0,7295,1.49,1.65,4.31,29.7575
51 Eri b,3,1,Imaging,2015,Gemini Observatory,11688,0,7295,1.49,1.65,4.31,29.7575
51 Eri b,3,1,Imaging,2015,Gemini Observatory,0,635.66,0,0,1.75,0,29.7575
51 Peg b,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.231,146.2018,0,0,1.04,0,15.4614
51 Peg b,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.23077,148.738,0,0,0,0,15.4614
51 Peg b,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.2293,149.3801,5773,1.29,0,4.32,15.4614
51 Peg b,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.2307969,147.47238,5760.76,1.19,1.07,4.32,15.4614
51 Peg b,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.230785,150.009,5758,1.18,1.03,4.31,15.4614
55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,14.65126,260.61,5250,0.96,0.9,4.42,12.5855
55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,14.647,289.21,0,0,0,0,12.5855
55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,14.648,266.9772,5200,0,0.85,4.5,12.5855
55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,14.465314,266.966,5250,0.96,0.9,4.42,12.5855
55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,14.65152,263.9785,0,0,0.95,0,12.5855
55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,14.651,254.25,5250,0.96,0.9,4.42,12.5855
55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,14.6516,255.4,5172,0.94,0.91,4.43,12.5855
55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,14.65162,261.881,5250,0.96,0.9,4.42,12.5855
55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,14.67,249.17872,0,0,0.95,0,12.5855
55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,14.6,254.25,0,0,0,0,12.5855
55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,14.65171,267.29369,5317.89,0.96,0.97,4.46,12.5855
55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,14.653,266.9772,0,0,0.95,0,12.5855
55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,44.3827,54.34866,5317.89,0.96,0.97,4.46,12.5855
